"","employees","salaries2017","adjustments","salaries_2018","salaries2018","raise"
"1","Employee 1",48376.302504912,1809.61753590964,50185.9200408217,50185.9200408217,TRUE
"2","Employee 2",42572.8004844859,-3760.62174793333,38812.1787365526,38812.1787365526,FALSE
"3","Employee 3",47243.560529314,6494.25899959169,53737.8195289057,53737.8195289057,TRUE
"4","Employee 4",42023.323350586,-1130.88216166943,40892.4411889166,40892.4411889166,FALSE
"5","Employee 5",45172.6244622841,9392.75519223884,54565.379654523,54565.379654523,TRUE
"6","Employee 6",47528.1957769766,-2713.11384043656,44815.0819365401,44815.0819365401,FALSE
"7","Employee 7",44964.8740864359,2990.93496985734,47955.8090562932,47955.8090562932,TRUE
"8","Employee 8",49967.1934288926,1829.45130509324,51796.6447339859,51796.6447339859,TRUE
"9","Employee 9",41265.3570738621,-2529.33382056653,38736.0232532956,38736.0232532956,FALSE
"10","Employee 10",46305.7142752223,5477.36322740093,51783.0775026232,51783.0775026232,TRUE
"11","Employee 11",40024.5023518801,6574.05692152679,46598.5592734069,46598.5592734069,TRUE
"12","Employee 12",42616.2283401936,1774.19075858779,44390.4190987814,44390.4190987814,TRUE
"13","Employee 13",46638.2790892385,9630.89306955226,56269.1721587908,56269.1721587908,TRUE
"14","Employee 14",49977.6910431683,-375.991208711639,49601.6998344567,49601.6998344567,FALSE
"15","Employee 15",42153.3007733524,-3045.93663662672,39107.3641367257,39107.3641367257,FALSE
"16","Employee 16",48254.3524098583,-3937.99108220264,44316.3613276556,44316.3613276556,FALSE
"17","Employee 17",49529.1711064056,9091.60591429099,58620.7770206966,58620.7770206966,TRUE
"18","Employee 18",45378.7457500584,3718.10893877409,49096.8546888325,49096.8546888325,TRUE
"19","Employee 19",46690.8498317935,2393.10673787259,49083.956569666,49083.956569666,TRUE
"20","Employee 20",41191.7281989008,-2438.57674184255,38753.1514570583,38753.1514570583,FALSE
"21","Employee 21",46327.307424508,6739.51776465401,53066.825189162,53066.825189162,TRUE
"22","Employee 22",40459.5512803644,-1155.58464312926,39303.9666372351,39303.9666372351,FALSE
"23","Employee 23",48294.4336021319,-1342.36861136742,46952.0649907645,46952.0649907645,FALSE
"24","Employee 24",40200.187608134,-377.462669275701,39822.7249388583,39822.7249388583,FALSE
"25","Employee 25",46569.6912049316,8401.92681411281,54971.6180190444,54971.6180190444,TRUE
"26","Employee 26",48401.5925158747,-1129.26528207026,47272.3272338044,47272.3272338044,FALSE
"27","Employee 27",47712.0729302987,7798.54193213396,55510.6148624327,55510.6148624327,TRUE
"28","Employee 28",47071.9895721413,-745.869728270918,46326.1198438704,46326.1198438704,FALSE
"29","Employee 29",48748.5742010176,-614.358875900507,48134.2153251171,48134.2153251171,FALSE
"30","Employee 30",42380.7548987679,5324.41679271869,47705.1716914866,47705.1716914866,TRUE
"31","Employee 31",49023.7117907964,5804.61820471101,54828.3299955074,54828.3299955074,TRUE
"32","Employee 32",42305.4020828567,-3361.19480896741,38944.2072738893,38944.2072738893,FALSE
"33","Employee 33",43845.845554024,7718.38043117896,51564.2259852029,51564.2259852029,TRUE
"34","Employee 34",44090.7075256109,9949.21742589213,54039.9249515031,54039.9249515031,TRUE
"35","Employee 35",44527.6270620525,3882.5525646098,48410.1796266623,48410.1796266623,TRUE
"36","Employee 36",49018.5885340907,1273.0893783737,50291.6779124644,50291.6779124644,TRUE
"37","Employee 37",41419.8336959817,4626.34700234048,46046.1806983221,46046.1806983221,TRUE
"38","Employee 38",45253.1973551959,8423.23438380845,53676.4317390043,53676.4317390043,TRUE
"39","Employee 39",47155.030274298,-4663.14013698138,42491.8901373167,42491.8901373167,FALSE
"40","Employee 40",42137.6547031105,-1211.3985279575,40926.256175153,40926.256175153,FALSE
"41","Employee 41",47690.0518778712,4522.21244457178,52212.2643224429,52212.2643224429,TRUE
"42","Employee 42",49223.0694321916,9391.62205322646,58614.691485418,58614.691485418,TRUE
"43","Employee 43",48269.0997933969,504.493098706007,48773.5928921029,48773.5928921029,TRUE
"44","Employee 44",47190.6989137642,-2354.64466270059,44836.0542510636,44836.0542510636,FALSE
"45","Employee 45",46564.9565029889,8579.81782755814,55144.7743305471,55144.7743305471,TRUE
"46","Employee 46",48780.9892883524,5453.77812348306,54234.7674118355,54234.7674118355,TRUE
"47","Employee 47",44474.7164729051,8349.6418222785,52824.3582951836,52824.3582951836,TRUE
"48","Employee 48",46003.8852784783,1727.76206629351,47731.6473447718,47731.6473447718,TRUE
"49","Employee 49",48697.9251704179,6623.42510186136,55321.3502722792,55321.3502722792,TRUE
"50","Employee 50",44318.8058980741,266.523250611499,44585.3291486856,44585.3291486856,TRUE
"51","Employee 51",44128.7694289349,6345.53900687024,50474.3084358051,50474.3084358051,TRUE
"52","Employee 52",44337.4968203716,-4109.39099616371,40228.1058242079,40228.1058242079,FALSE
"53","Employee 53",47314.6282369271,8150.39500128478,55465.0232382119,55465.0232382119,TRUE
"54","Employee 54",48534.2617379501,7062.66223220155,55596.9239701517,55596.9239701517,TRUE
"55","Employee 55",40369.0251405351,5755.62564888969,46124.6507894248,46124.6507894248,TRUE
"56","Employee 56",41908.7391369976,1457.90062029846,43366.6397572961,43366.6397572961,TRUE
"57","Employee 57",43501.5127086081,-1815.98096387461,41685.5317447335,41685.5317447335,FALSE
"58","Employee 58",47156.5947635099,1352.2403780371,48508.835141547,48508.835141547,TRUE
"59","Employee 59",46458.4402297623,-1710.73852805421,44747.7017017081,44747.7017017081,FALSE
"60","Employee 60",46591.5104839951,147.059271112084,46738.5697551072,46738.5697551072,TRUE
"61","Employee 61",42364.7263366729,4138.46295443363,46503.1892911065,46503.1892911065,TRUE
"62","Employee 62",40657.8060309403,3522.15609047562,44179.9621214159,44179.9621214159,TRUE
"63","Employee 63",46163.5009688325,-3204.31985659525,42959.1811122373,42959.1811122373,FALSE
"64","Employee 64",44458.4335177206,-649.353796616197,43809.0797211044,43809.0797211044,FALSE
"65","Employee 65",43297.2927181982,-2169.38458383083,41127.9081343673,41127.9081343673,FALSE
"66","Employee 66",40260.1841976866,1024.30542930961,41284.4896269962,41284.4896269962,TRUE
"67","Employee 67",45350.6770334207,9802.54736728966,55153.2244007103,55153.2244007103,TRUE
"68","Employee 68",46924.938922748,9225.37511680275,56150.3140395507,56150.3140395507,TRUE
"69","Employee 69",42457.8855349682,-2979.97691552155,39477.9086194467,39477.9086194467,FALSE
"70","Employee 70",43619.8605713435,-3868.00749925897,39751.8530720845,39751.8530720845,FALSE
"71","Employee 71",45055.3700397722,-3889.63827164844,41165.7317681238,41165.7317681238,FALSE
"72","Employee 72",44943.0433614179,5214.33729329146,50157.3806547094,50157.3806547094,TRUE
"73","Employee 73",42472.8315533139,1618.38991916738,44091.2214724813,44091.2214724813,TRUE
"74","Employee 74",44576.7206279561,2138.195366133,46714.9159940891,46714.9159940891,TRUE
"75","Employee 75",42392.5299872644,-1319.19932668097,41073.3306605835,41073.3306605835,FALSE
"76","Employee 76",40154.5702689327,4618.20983327925,44772.780102212,44772.780102212,TRUE
"77","Employee 77",46189.2895470373,6180.59255066328,52369.8820977006,52369.8820977006,TRUE
"78","Employee 78",44450.8620793931,3936.83518050238,48387.6972598955,48387.6972598955,TRUE
"79","Employee 79",46124.1507646628,-134.312546579167,45989.8382180836,45989.8382180836,FALSE
"80","Employee 80",43423.6488491297,136.36710238643,43560.0159515161,43560.0159515161,TRUE
"81","Employee 81",41263.0294309929,5620.41155644692,46883.4409874398,46883.4409874398,TRUE
"82","Employee 82",42610.1757423021,-4130.1652812399,38480.0104610622,38480.0104610622,FALSE
"83","Employee 83",48418.0308040231,3949.37140285037,52367.4022068735,52367.4022068735,TRUE
"84","Employee 84",48515.4372639954,4815.10355370119,53330.5408176966,53330.5408176966,TRUE
"85","Employee 85",43387.8821297549,-3178.73420543037,40209.1479243245,40209.1479243245,FALSE
"86","Employee 86",45647.388191428,5619.61531406268,51267.0035054907,51267.0035054907,TRUE
"87","Employee 87",49348.4617234208,-1781.06787148863,47567.3938519321,47567.3938519321,FALSE
"88","Employee 88",49594.6590555832,6710.59365384281,56305.252709426,56305.252709426,TRUE
"89","Employee 89",45139.8442639038,4170.49095034599,49310.3352142498,49310.3352142498,TRUE
"90","Employee 90",48417.0938935131,3404.09618103877,51821.1900745519,51821.1900745519,TRUE
"91","Employee 91",46625.8045309223,5447.08204455674,52072.8865754791,52072.8865754791,TRUE
"92","Employee 92",45141.0531136207,5696.53390557505,50837.5870191958,50837.5870191958,TRUE
"93","Employee 93",47350.2004728653,-1654.98666232452,45695.2138105407,45695.2138105407,FALSE
"94","Employee 94",44468.2751619257,5412.8500726074,49881.1252345331,49881.1252345331,TRUE
"95","Employee 95",40137.8302229568,-4175.29911966994,35962.5311032869,35962.5311032869,FALSE
"96","Employee 96",49609.0389741585,-3591.4943809621,46017.5445931964,46017.5445931964,FALSE
"97","Employee 97",48144.3579704501,6102.73182275705,54247.0897932071,54247.0897932071,TRUE
"98","Employee 98",44560.4757172987,7965.62682837248,52526.1025456712,52526.1025456712,TRUE
"99","Employee 99",46133.041465655,-3548.37021557614,42584.6712500788,42584.6712500788,FALSE
"100","Employee 100",49388.7744355015,7724.6811776422,57113.4556131437,57113.4556131437,TRUE
